artists|prompts
Art Deco|by Tamara de Lempicka
Anime - Modern|by Hideaki Anno, Sakimichan, Kyoto Animation, Ufotable
Anime - Retro|by Yoshiyuki Tomino, Akira Toriyama, Rumiko Takahashi
Baroque|by Caravaggio, Rembrandt, Vermeer
Cubism|by Pablo Picasso, Georges Braque, Alexander Archipenko
Classicism|by william - adolphe bouguereau
Digital Art|by Deiv Calviz, artgerm
Expressionism|by Vincent van Gogh, Edvard Munch
Fantasy|by wlop, Greg Rutkowski
Game - Retro|by Rieko Kodama, Katsumi Enami
Gothic|by Ayami Kojima
Impressionism|by Paul Cézanne, Claude Monet
Surrealism|by Salvador Dalí, René Magritte
Symbolism|by Mark Keathley and Gaston Bussière
Ukiyo-e|by Shozo Sato, Sesshū Tōyō
